sex,sexage_rec,health_cond,educ,mjday30a,mjage,alctry,cigtry,smklsstry,oxcnnmage,mjmfu,poverty3,irfamin3,cig30use,mjever,age2,smklss30n
Male,Other,Very Good,HS grad,30,10,12,22,991,991,99,3,4,30,1,13,91
Male,Other,Excellent,College grad,30,21,18,21,991,993,99,3,7,93,1,14,91
Female,Other,Good,College grad,2,22,11,13,991,991,99,3,7,1,1,14,91
Female,Females Aged 18-25,Very Good,College grad,20,16,15,18,991,991,99,3,7,93,1,11,91
Male,Other,Very Good,Some coll/Assoc,30,12,8,10,991,991,99,3,6,93,1,15,91
Female,Females Aged 12-17,Good,12-17yrsold,30,14,NA,14,991,991,99,3,5,2,1,5,91
Male,Other,Good,College grad,3,14,12,14,13,993,99,2,2,30,1,15,93
Male,Other,Very Good,College grad,1,20,18,16,991,991,99,3,7,93,1,14,91
Male,Males Aged 18-25,Very Good,HS grad,30,13,18,10,12,991,99,2,2,20,1,11,93
Male,Males Aged 12-17,Very Good,12-17yrsold,16,13,16,15,991,993,99,2,3,25,1,6,91
Male,Males Aged 18-25,Good,HS grad,5,14,13,19,991,993,99,2,2,15,1,10,91
Female,Females Aged 12-17,Very Good,12-17yrsold,3,16,14,15,991,991,5,3,7,2,1,6,91
Female,Other,Fair/Poor,College grad,20,16,13,15,991,991,99,3,4,93,1,17,91
Female,Females Aged 18-25,Very Good,Some coll/Assoc,2,19,13,18,991,993,99,1,1,93,1,11,91
Male,Other,Good,College grad,7,20,18,18,991,991,99,3,6,30,1,15,91
Male,Other,Good,Some coll/Assoc,30,21,18,25,991,991,99,3,7,93,1,16,91
Female,Other,Very Good,College grad,10,16,13,14,991,991,99,3,7,93,1,15,91
Female,Females Aged 18-25,Very Good,HS grad,3,14,13,14,14,991,99,3,6,93,1,12,93
Male,Males Aged 18-25,Very Good,HS grad,25,16,7,9,10,991,99,3,7,28,1,9,15
Female,Females Aged 18-25,Good,HS grad,3,13,13,13,23,993,99,3,7,30,1,12,93
Female,Females Aged 18-25,Good,HS grad,6,14,15,12,991,993,99,2,5,30,1,11,91
Male,Other,Good,College grad,1,15,16,14,991,991,99,3,7,5,1,13,91
Male,Males Aged 18-25,Very Good,College grad,10,15,15,15,16,991,99,1,2,30,1,8,93
Male,Males Aged 18-25,Very Good,Less HS,7,10,13,14,15,993,99,3,7,30,1,8,93
Male,Other,Very Good,HS grad,30,13,15,15,21,991,99,1,2,30,1,14,2
Male,Males Aged 18-25,Excellent,Some coll/Assoc,10,13,16,13,991,993,99,3,4,93,1,10,91
Male,Other,Good,Less HS,30,13,14,14,991,991,99,1,1,30,1,15,91
Male,Males Aged 18-25,Very Good,HS grad,15,16,12,18,991,991,99,2,3,30,1,12,91
Female,Other,Fair/Poor,Less HS,30,13,12,14,991,993,99,1,2,30,1,15,91
Male,Males Aged 18-25,Excellent,Less HS,30,7,13,7,991,991,99,3,4,30,1,11,91
Male,Males Aged 18-25,Very Good,HS grad,1,11,11,11,11,993,99,1,2,30,1,12,4
Female,Other,Good,Some coll/Assoc,30,18,17,19,991,991,99,2,4,93,1,15,91
Male,Other,Very Good,HS grad,30,17,18,18,991,991,99,1,2,30,1,14,91
Male,Other,Fair/Poor,College grad,4,21,18,17,991,991,99,2,2,2,1,13,91
Female,Females Aged 18-25,Excellent,HS grad,20,14,14,12,13,17,99,3,6,30,1,11,93
Female,Other,Very Good,HS grad,30,13,13,13,991,991,99,2,4,30,1,15,91
Female,Females Aged 12-17,Very Good,12-17yrsold,30,13,13,14,991,991,4,3,7,93,1,3,91
